3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,,['GIGABYTE'],['2560'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1815 MHz'],,"['October 09, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2070 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N207SGAMING OC-8GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:Quick guideDriver CD'],"['1 x 8-Pin, 1 x 6-Pin']",['2-way NVIDIA NVLINK'],,['2.5 slot'],['System PSU Limitation: 650W'],['215W'],['Yes'],36 (64% Positive)
,,['PNY'],,,['NVIDIA'],['With Fan'],,,"['July 06, 2020']",['DirectX 12OpenGL 4.5Vulkan'],['3'],,,,['DisplayPort:Yes'],['Plug-in Card'],['RTX 2070 SUPER'],,,['1 x HDMI'],,['281 mm'],,['256-Bit'],['8 GB'],['GDDR6'],,,['DirectX 12OpenGL 4.5Vulkan'],,,,,,,,,,['215W'],,(1)
,['1800 MHz'],['EVGA'],['2560'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['May 07, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversDisplayPort 1.4, HDMI 2.0bHDCP 2.2NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkMicrosoft DirectX 12 Ultimate, Vulkan, OpenGL 4.6']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3173-RX'],['4'],['OpenGL 4.6'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],['SLI Ready'],,['2.75 Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],(9)
,['OC mode: 1800 MHzGaming mode: 1770 MHz'],['ASUS'],['2560'],"['11.80"" x 5.13""']",['NVIDIA'],['Triple Fans'],['OC mode: 1635 MHzGaming mode: 1605 MHz'],,"['October 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Dual BIOS switch lets you toggle between Quiet and Performance BIOS profiles sans software.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2070S-8G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],['SLI Ready'],['ROG STRIX'],['2.7 slot'],['Recommended PSU: 650W'],['215W'],['Yes'],883 (79% Positive)
,['OC Mode: 1740 MHzGaming Mode (Default): 1710 MHz'],['ASUS'],['2304'],"['10.51"" x 4.65""']",['NVIDIA'],['Double Fans'],['1410 MHz'],['1 x DL-DVI-D'],"['October 07, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],['Yes'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.""]",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2070-O8G-EVO'],['4'],['OpenGL 4.5'],,,,['Accessories:1 x CD1 x Quick Guide'],['8-Pin'],['No'],['Dual'],['2.7 slots'],['Recommended PSU: 550W'],['215W'],,883 (79% Positive)
,['1830 MHz'],['MSI'],['2304'],"['12.09"" x 6.10""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['January 22, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Twin Frozr 7 Thermal Design: TORX Fan 3.0 with Double Ball Bearings - Dispersion fan blade: Steep curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high. Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.  RGB Mystic Light: Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  Dragon Center: 1 click to optimize all you need for smooth gaming.']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['307 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 GAMING Z 8G'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['1 x 8-pin, 1 x 6-pin']",,,,['Power consumption: 225W (default) Recommended PSU: 550W'],,['Yes'],0 reviews
,['1800 MHz'],['MSI'],['2560'],"['11.69"" x 5.63""']",['NVIDIA'],['Double Fans'],,,"['January 07, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Twin Frozr 7 Thermal Design TORX Fan 3.0 with Double Ball Bearings - Dispersion fan blade: Steep curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high. Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.  RGB Mystic Light Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  Dragon Center A consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['297 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],,['4'],['OpenGL 4.5'],,,,,"['1 x 6-Pin, 1 x 8-Pin']","['NVIDIA NVLink (SLI-Ready), 2-way']",['RTX 2070 Super GAMING X'],,['Pwr Supply: 650W'],['125W'],['Yes'],0 reviews
,['1800 MHz'],['MSI'],['2560'],"['11.69"" x 5.63""']",['NVIDIA'],['Double Fans'],,,"['March 10, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Twin Frozr 7 Thermal Design TORX Fan 3.0 with Double Ball Bearings - Dispersion fan blade: Steep curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high. Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment.  RGB Mystic Light Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  Dragon Center A consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['297 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 Super GAMING X'],['4'],['OpenGL 4.5'],,,,,"['1 x 6-Pin, 1 x 8-Pin']","['NVIDIA NVLink (SLI-Ready), 2-way']",,,['Pwr Supply: 650W'],['215W'],['Yes'],0 reviews
['Yes'],['1620 MHz'],['MSI'],['2304'],"['12.17"" x 6.10""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['January 21, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Armor Thermal Design TORX Fan 2.0 with Double Ball Bearings - Dispersion fan blade: Steep curved blade accelerating the airflow - Traditional fan blade: Provides steady airflow to massive heat sink below Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment  RGB Mystic Light Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['309 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],,['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['1 x 8-pin, 1 x 6-pin']",,['RTX 2070 ARMOR 8G'],,['Power consumption: 175W (default) Recommended PSU: 550W'],,,0 reviews
,['1800 MHz'],['MSI'],['2560'],,['NVIDIA'],,,,"['October 25, 2020']",,,,,['14 Gbps'],,,['GeForce RTX 2070 SUPER'],,,,['PCI Express 3.0 x16'],,,,,,,,,,,,,,,['RTX 2070 Super GAMING X'],,,,,0 reviews
,['1800 MHz'],['MSI'],['2560'],"['12.91"" x 5.51""']",['NVIDIA'],['Triple Fans'],,,"['September 09, 2020']",['DirectX 12'],['3 x DisplayPort'],,,['14 Gpbs'],"['TORX FAN 3.0 Award-winning fan design combining two different fin designs for cool & quiet gaming.  TRI-FROZR THERMAL DESIGN Using three of the award-winning TORX Fans 2.0 with Double Ball Bearings, Tri-Frozr is the pinnacle of air cooling.  ZERO FROZR Eliminates fan noise by stopping the fans in low-load situations so you can focus on your game.  RGB MYSTIC LIGHT Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  MASTERY OF AERODYNAMICS Using groundbreaking aerodynamic techniques, the heatsink is optimized for efficient heat dissipation.  OC PERFORMANCE MSI OC graphics cards are equipped with higher clock speeds out of the box for increased performance.  MSI AFTERBURNER The ultimate overclocking software with advanced control options and real-time hardware monitor.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['328 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 SUPER GAMING X TRIO'],['4'],['OpenGL 4.5'],,,,,['2 x 8-Pin'],"['NVIDIA NVLINK (SLI-Ready), 2-way']",,,['Power consumption: 215W Recommended PSU: 650W'],['215W'],['Yes'],0 reviews
,,['MSI'],,,,,,,"['October 19, 2020']",,,,,,,,,,,,,,,,,,['RTX 2070 VENTUS 8G OC'],,,,,,,,,,,,,,0 reviews
,['1740 MHz'],['MSI'],['2304'],"['12.17"" x 6.10""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['January 22, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['Armor Thermal Design TORX Fan 2.0 with Double Ball Bearings - Dispersion fan blade: Steep curved blade accelerating the airflow - Traditional fan blade: Provides steady airflow to massive heat sink below Mastery of Aerodynamics: The heatsink is optimized for efficient heat dissipation, keeping your temperatures low and performance high Zero Frozr technology: Stopping the fan in low-load situations, keeping a noise-free environment  RGB Mystic Light Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['309 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 ARMOR 8G OC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['1 x 8-pin, 1 x 6-pin']",,,,['Power consumption: 185W (default) Recommended PSU: 550W'],,['Yes'],0 reviews
,,,,,,,,,"['October 18, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,['PNY'],,,,,,,"['June 24, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['1620 MHz'],['MSI'],['2304'],"['8.90"" x 5.04""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['January 31, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['DUAL FAN THERMAL DESIGN  Dual fans covers more area of heatsink to take heat away more efficiently.   SOLID BACKPLATE  Increases toughness of the card to prevent bending while complementing the design.   MSI Afterburner  The ultimate overclocking software with advanced control options and real-time hardware monitor.   NVIDIA G-SYNC  Gives you more of what you want in a gaming experience. Incredibly smooth, tear-free gameplay at refresh rates up to 240 Hz.   VR READY  Certified to provide the performance required for a smooth experience in your VR adventures.']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['226 mm'],,['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 Ventus 8G'],['4'],['OpenGL 4.5'],,,,,['8-Pin'],,,['Dual Slot'],['Power consumption: 175W (default) Recommended PSU: 550W'],,['Yes'],0 reviews
,['1800 MHz'],['EVGA'],['2560'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['October 08, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA Ansel  Adjustable RGB LED  All-Metal Backplate, Pre-Installed  Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  NVIDIA GPU Boost  Built for EVGA Precision X1  Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3173-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8 pin PCIe power connector'],['2-Way SLI'],,['2.75 Slot'],"['650W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],0 reviews
,,['GIGABYTE'],,,,,['1620 MHz'],,"['May 18, 2020']",,,,,,,,,['NVIDIA GeForce RTX 20 Series'],,,,,,,['8GB'],,['GV-N2070WF2-8GD'],,,,,,,,,,,,,,0 reviews
,,,,,,,,,"['October 15, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,['ASUS'],,,,,,,"['August 29, 2020']",,['3 x DisplayPort'],,,,,,['GeForce RTX 2070 SUPER'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI'],,,,,['8GB'],['GDDR6'],,,,,,,,,,,,,['235W'],,0 reviews
,['N/A'],['GIGABYTE'],,,,['Triple Fans'],,,"['October 26, 2020']",,,,['None'],,,,,,,,,,,,['8GB'],,,,,,['GAMING OC'],,,,,,,,,,0 reviews
,['N/A'],['GIGABYTE'],,,,['Triple Fans'],,,"['October 26, 2020']",,,,['None'],,,,,,,,,,,,['8GB'],,,,,,['AORUS-8GC'],,,,,,,,,,0 reviews
,,['ASUS'],,,,,,,"['June 24, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,,"['October 15, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['N/A'],['GIGABYTE'],,,,['Triple Fans'],,,"['October 26, 2020']",,,,['None'],,,,,,,,,,,,['8GB'],,,,,,['GAMING OC 3X WHITE'],,,,,,,,,,0 reviews
,,,,,,,,,"['October 26, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,['ASUSTEK'],,,,,,,"['June 27, 2020']",,,,,,,,['GeForce RTX 2080'],,,,,,,,['8GB'],['GDDR6'],,,,,,,,,,,,,['260W'],,0 reviews
,,['EVGA'],,,,,,,"['July 06, 2020']",,,,,,,,,,,,,,,,,,['08G-P4-3178-KR'],,,,,,,,,['2070 SUPER XC HYBRID GAMING'],,,,,0 reviews
,,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,['ASUS'],,,,,,,"['October 03, 2020']",,['2 x DisplayPort'],,,,,,['GeForce RTX 2070 SUPER'],['NVIDIA GeForce RTX 20 Series'],,['2 x HDMI'],,,,,['8GB'],['GDDR6'],,,,,,,,,,,,,['235W'],,16 (81% Positive)
,['N/A'],['GIGABYTE'],,,,['Triple Fans'],,,"['October 26, 2020']",,,,['None'],,,,,,,,,,,,['8GB'],,,,,,['WINDFORCE OC 3X'],,,,,,,,,,0 reviews
,,,,,,,,,"['March 31, 2019']",,,,,,,,['GeForce RTX 2070'],,,,,,,,['8GB'],['GDDR6'],,,,,,,,,,,,,['225W'],,0 reviews
,['OC mode: 1800 MHzGaming mode: 1770 MHz'],['ASUS'],['2560'],"['11.80"" x 5.13""']",['NVIDIA'],['Triple Fans'],['OC mode: 1635 MHzGaming mode: 1605 MHz'],,"['August 29, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"['Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Dual BIOS switch lets you toggle between Quiet and Performance BIOS profiles sans software.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.']",,['GeForce RTX 2070 SUPER'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2070S-8G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],['SLI Ready'],['ROG STRIX'],['2.7 slot'],['Recommended PSU: 650W'],['215W'],['Yes'],0 reviews
,,,,,,,,,"['October 26, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['OC mode: 1830 MHzGaming mode: 1800 MHz'],['ASUS'],['2560'],"['11.80"" x 5.13""']",['NVIDIA'],['Triple Fans'],['OC mode: 1635 MHzGaming mode: 1605 MHz'],,"['September 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Dual BIOS switch lets you toggle between Quiet and Performance BIOS profiles sans software.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.']",,['GeForce RTX 2070 SUPER'],,['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['90YV0DI1-M0NA00'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],['SLI Ready'],['ROG-STRIX-RTX2070S-A8G-GAMING'],['2.7 slot'],['Recommended PSU: 650W'],['215W'],['Yes'],0 reviews
,,['ASUS'],,,,,,,"['October 20, 2020']",,,,,,,,,,,,,,,,,,['ROG-STRIX-RTX2070S-O8G-GAMING'],,,,,,,,,,,,,,883 (79% Positive)
,['OC Mode: 1680 MHz Gaming Mode (Default): 1650 MHz'],['ASUS'],['2304'],"['11.83"" x 5.14""']",['NVIDIA'],['Triple Fans'],['1410 MHz'],,"['October 07, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"[""NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA ShadowplayRecord and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing's cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2070-A8G-GAMING'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],"['1 x 6-Pin, 1 x 8-Pin']",['No'],['ROG Strix'],['2.5-slot'],['Recommended PSU: 550W'],['185W'],['Yes'],0 reviews
,['OC Mode: 1650 MHz Gaming Mode (Default): 1620 MHz'],['ASUS'],['2304'],"['10.54"" x 4.45""']",['NVIDIA'],['Single Fan'],['1410 MHz'],,"['October 07, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Redesigned Shroud improves cooling in chassis with limited airflow.Dual-ball Bearing Fan with IP5X Dust Resistance is a larger, quieter, and dust resistant fan that shifts more air.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['TURBO-RTX2070-8G'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],,"['1 x 6-Pin, 1 x 8-Pin']",['No'],['Turbo'],['Dual Slot'],['Recommended PSU: 550W'],['185W'],['Yes'],0 reviews
,['OC Mode: 1665 MHz Gaming Mode (Default): 1635 MHz'],['ASUS'],['2304'],"['10.53"" x 4.47""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['October 07, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.NVIDIA Shadowplay Record and share high-quality gameplay videos, screenshots, and livestreams with your friends.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0 dB mode for silent gaming.2.7-Slot Design to expand cooling surface area by more than 50% compared to last gen.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.']",,['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2070-A8G'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide'],"['1 x 6-Pin, 1 x 8-Pin']",['No'],['Dual'],['2.7-slot'],['Recommended PSU: 550W'],['185W'],['Yes'],0 reviews
