Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,Date First Available ,DirectX ,DisplayPort ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Thunderbolt 3 ,Virtual Reality Ready ,review_numbers
,['GIGABYTE'],['3072'],"['11.42"" x 5.29""']",['NVIDIA'],['WINDFORCE Stack'],['1860 MHz'],"['August 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE Stack 3 X 100mm Fan Cooling SystemRGB light reinvented7 Video OutputsMetal Back Plate with RGB AORUS LOGO IlluminationBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce RTX 2080 SUPER'],,,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SAORUS-8GC'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS metal stickerQuick guideI/O guideDriver CD'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],['Triple Slot'],['Recommended Power Supply: 650W'],['250W'],,['Yes'],16 (81% Positive)
['OC Mode: 1830 MHzGaming Mode: 1800 MHz'],['ASUS'],['2944'],"['10.53"" x 4.47""']",['NVIDIA'],['Double Fans'],['1515 MHz'],"['October 02, 2018']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.2.7-Slot Design to expand cooling surface area by more than 50% compared to last gen.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2080-O8G'],,['OpenGL 4.5'],,,['1 x USB TYPE-C'],['Accessories:1 x CD1 x Quick Guide'],"['1 x 6-pin, 1 x 8-pin']",,['SLI Ready'],['Dual'],['2.7-slot'],,['215W'],,['Yes'],(20)
['OC mode: 1890 MHzGaming mode: 1860 MHz'],['ASUS'],['3072'],"['12.00"" x 5.10""']",['NVIDIA'],['Triple Fans'],['1650 MHz'],"['July 31, 2020']",,['2 x DisplayPort 1.4'],,['15.5Gbps'],"['Limited White Edition features a white shroud backplate, frame and fans.Boost Clock: 1890 MHz (OC Mode) / 1860 MHz (Gaming Mode).Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.Auto Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components.Max-Contact Technology and 2.7 slot width provides 2x the surface area than the previous generation heatsink, allowing for more efficient thermal transfer.AURA Sync RGB lighting is capable of six lighting effects and millions of colors to allow you to express your style.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2080S-O8G-WHITE-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x ROG Velcro Hook & Loop1 x ROG ruler1 x Speedsetup manual'],['2 x 8-Pin'],,['SLI Ready'],['ROG STRIX'],['2.7 Slots'],['Recommended PSU: 650W'],['250W'],,['Yes'],0 reviews
['1545 MHz'],['PNY'],['4352'],"['10.59"" x 4.41""']",['NVIDIA'],['Single Fan'],['1350 MHz'],"['August 03, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14 Gbps'],"['Real-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA AnselNVIDIA HighlightsNVIDIA G-SYNC - CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.6DisplayPort 1.4 (×3), HDMI 2.0bHDCP 2.2NVIDIA GPU BoostNVIDIA NVLink (NVIDIA SLI)VR Ready']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['269 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['VCG2080T11BLPPB'],['4'],['OpenGL 4.5'],"['Microsoft Windows 10 64-bit (April 2018 Update or later), Windows 7 64-bit, Linux 64-bit']",,,,['2 x 8-Pin'],,['NVLink 2-Way'],['GeForce RTX 2080 Ti 11GB Blower'],['Dual Slot'],['Recommended Power Supply: 650W or greaterPCI Express-compliant motherboard with one dual-width x16 graphics slot1.5GB available hard-disk space8GB system memory (16GB recommended)Two 8-pin supplementary power connectorsInternet connection'],['250W'],,,(1)
['1770 MHz OC Mode1740 MHz Gaming Mode'],['ASUS'],['4352'],"['12.00"" x 5.10""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['October 07, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14800 MHz'],"['Limited White Edition features a white shroud backplate, frame and fansUp to 1770 MHz performance boost through factory overclocking and selective binning processAuto Extreme Technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II componentsMax-Contact Technology and 2.7 slot width provides 2x the surface area than the previous generation heatsink, allowing for more efficient thermal transferAxial-Tech Fans increases airflow through the heatsink and boasts IP5X dust-resistanceAURA Sync RGB lighting is capable of six lighting effects and millions of colors to allow you to express your styleGPU Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-STRIX-RTX2080TI-O11G-WHITE-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB-C'],,['2 x 8-Pin'],,['SLI Ready'],['ROG STRIX'],['2.7 Slot'],,['Recommended PSU: 650W'],,['Yes'],0 reviews
['1830 MHz'],['EVGA'],['3072'],"['10.46"" x 4.38""']",['NVIDIA'],['Hybrid Cooler'],,"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],"['NVIDIA AnselAdjustable RGB LEDHybrid ""All-in-One"" WatercoolerAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['266 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3188-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],,['2-Way SLI'],,['Dual Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],,['Yes'],247 (72% Positive)
['1635 MHz'],['EVGA'],['4352'],"['10.60"" x 4.50""']",['NVIDIA'],['Double Fans'],,"['August 04, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"['Real-Time Ray Tracing NVIDIA GeForce Experience NVIDIA Ansel NVIDIA Highlights NVIDIA G-SYNC Compatible Game Ready Drivers Microsoft DirectX 12 API, Vulkan API, OpenGL 4/5 DisplayPort 1.4, HDMI 2.0b Designed for USB Type-C and VirtualLink HDCP 2.2 NVIDIA GPU Boost VR Ready Adjustable RGB LED Built for EVGA Precision X1']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['269 mm'],,['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2382-KR'],,['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB TYPE-C'],,,,,,['Dual Slot'],"['650-Watt or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot. Two available 8-pin or 6+2-pin PCI-E power dongles.']",['250W'],,['Yes'],(6)
,['MSI'],,,,,,"['August 18, 2020']",,,,,,,['GeForce RTX 2080 Ti'],,,,,,,,['11GB'],['GDDR6'],['RTX 2080 Ti GAMING X TRIO'],,,,,,,,,,['MSI Ti GAMING X TRIO GeForce'],,,['300W'],,,247 (72% Positive)
,['GIGABYTE'],['4352'],"['11.42"" x 5.29""']",['NVIDIA'],['WINDFORCE Stack'],['1770 MHz'],"['August 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14140 MHz'],['Powered by GeForce RTX 2080 TiIntegrated with 11GB GDDR6 352-bit memory interfaceWINDFORCE Stack 3 X 100mm Fan Cooling System with RGB light reinvented7 Video OutputsMetal Back Plate with RGB AORUS LOGO IlluminationBuilt for Extreme Overclocking 16+3 Power Phases'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320 @ 60 Hz'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TAORUS X-11GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS VGA holderAORUS metal stickerQuick guideI/O guideDriver CD'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],,['Recommended PSU: 750W'],['250W'],,['Yes'],291 (90% Positive)
['OC Mode: 1740 MHz Gaming Mode: 1710 MHz'],['ASUS'],['2944'],"['10.59"" x 4.49""']",['NVIDIA'],['Single Fan'],['1515 MHz'],"['October 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Redesigned Shroud improves cooling for multi-card configurations and chassis with limited airflow.Dual-ball Bearing Fan with IP5X Dust Resistance is a larger, quieter, and dust resistant fan that shifts more air.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['269 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['TURBO-RTX2080-8G'],,['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide'],['6 + 8-pin'],,['SLI Ready'],['Turbo'],['2.7-slot'],,['215W'],,['Yes'],(7)
['N/A'],,,,,['With Fan'],,"['August 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['GAMING 8G'],,,,,,,,,,,,16 (81% Positive)
['OC Mode: 1650 MHz Gaming Mode: 1635 MHz'],['ASUS'],['4352'],"['10.53"" x 4.47""']",['NVIDIA'],['Double Fans'],['1350 MHz'],"['August 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.2.7-Slot Design to expand cooling surface area by more than 50% compared to last gen.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['DUAL-RTX2080TI-O11G'],['4'],['OpenGL 4.6'],,,['1 x USB TYPE-C'],['Accessories:1 x CD1 x Quick Guide'],['2 x 8-Pin'],,['SLI Ready'],['Dual'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],(38)
,['GIGABYTE'],['3072'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1845 MHz'],"['August 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SGAMINGOC WHITE-8GD'],['4'],['OpenGL 4.6'],,,,['Accessories:Quick guideDriver CD'],"['1 x 8-Pin, 1 x 6-Pin']",,['2-way NVIDIA NVLINK'],,['2.5 slot'],['Recommended Power Supply: 650W'],['250W'],,['Yes'],(14)
['OC Mode: 1560 MHz Gaming Mode: 1545 MHz'],['ASUS'],['4352'],"['10.59"" x 4.49""']",['NVIDIA'],['Single Fan'],['1350 MHz'],"['October 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Redesigned Shroud improves cooling for multi-card configurations and chassis with limited airflow.Dual-ball Bearing Fan with IP5X Dust Resistance is a larger, quieter, and dust resistant fan that shifts more air.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['269 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['TURBO-RTX2080TI-11G'],,['OpenGL 4.5'],,,['1 x USB TYPE-C'],['Accessories:1 x CD1 x Quick Guide'],['2 x 8-Pin'],,['SLI Ready'],['Turbo'],['Dual Slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],883 (79% Positive)
,['GIGABYTE'],['4352'],"['11.04"" x 4.58""']",['NVIDIA'],['WINDFORCE 3X'],['1545 MHz'],"['October 09, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],['Powered by GeForce RTX 2080 TiIntegrated with 11GB GDDR6 352-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['280 mm'],['7680 x 4320 @ 60 Hz'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TWF3-11GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],,['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],,,['Recommended PSU: 750W'],['250W'],,['Yes'],883 (79% Positive)
,['GIGABYTE'],['4352'],"['11.42"" x 5.29""']",['NVIDIA'],['WINDFORCE Stack'],['1695 MHz'],"['August 05, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],['Powered by GeForce RTX 2080 TiIntegrated with 11GB GDDR6 352-bit memory interfaceWINDFORCE Stack 3X 100mm Fan Cooling SystemRGB light reinvented7 Video OutputsMetal Back PlateBuilt for Extreme Overclocking 16+3 Power Phases'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TAORUS-11GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS metal stickerQuick guideI/O guideDriver CD'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],,['Recommended PSU: 750W'],['250W'],,,16 (81% Positive)
['1.64 GHz'],['NVIDIA'],,,['NVIDIA'],['Air Cooler'],['1.35 GHz'],"['September 03, 2020']",['OpenGL 4.5 DirectX 12 Vulkan'],['Yes'],['Air Cooler'],['1.35 GHz'],,['Plug-in Card'],['RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['Yes'],['PCI Express 3.0'],,,['352-Bit'],['11GB'],['GDDR6'],,,['OpenGL'],,,,,,['1.35 GHz'],,['RTX'],,,,,,201 (84% Positive)
,,,,,,,"['August 24, 2020']",,['3 x DisplayPort'],,,,,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI'],,,,,['11GB'],['GDDR6'],,,,,,,,,,,,,,['300W'],,,0 reviews
['1605 MHz'],['ZOTAC'],['4352'],"['12.13"" x 4.45""']",['NVIDIA'],['Triple Fans'],,"['July 30, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14.0 Gbps'],['Active Fan ControlNew Fan DesignSpectra Lighting GDDR6 memoryFireStormOC Scanner'],,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['308 mm'],,['352-Bit'],['11GB'],['GDDR6'],['ZT-T20810F-10P'],['4'],['OpenGL 4.5'],['Microsoft Windows 10/7 x64'],,['1 x USB Type-C'],['ZOTAC GAMING GeForce RTX 2080 Ti Triple Fan graphics card2 x Dual 6-pin to 8-pin adapterUser Manual'],['2 x 8-Pin'],,['NVLink (SLI-Ready)'],,['2.5 slots'],['Recommended Power Supply: 650W'],['250W'],,['Yes'],(3)
,,,,,,,"['September 03, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['MSI'],['4352'],,['NVIDIA'],['Hybrid Cooler'],,"['September 24, 2020']",,,,['14 Gbps'],,,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,,['PCI Express 3.0'],,,['352-Bit'],['11GB'],['GDDR6'],['RTX 2080 TI SEA HAWK X'],,,,,,,,,,,,,['300W'],,,0 reviews
['1845 MHz'],['MSI'],['3072'],"['12.91"" x 5.51""']",['NVIDIA'],['Triple Fans'],,"['September 09, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15.5 Gbps'],"['TORX FAN 3.0: Supremely silent Dispersion fan blade: Steeper curved blade accelerating the airflow. Traditional fan blade: Provides steady airflow to massive heat sink below.  TRI-FROZR Thermal Design Using three of the award-winning TORX Fans 3.0 with Double Ball Bearings. Using groundbreaking aerodynamic techniques, the heatsink is optimized for efficient heat dissipation.  RGB Mystic Light Customize colors and LED effects with exclusive MSI software and synchronize the look & feel with other components.  Dragon Center A consolidated platform that offers all software including MYSTIC LIGHT functionality for your MSI Gaming product.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['328 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 Super Gaming X TRIO'],['4'],['OpenGL 4.5'],,,['1 x USB-C'],,['2 x 8-Pin'],,"['NVIDIA NVLink (SLI-Ready), 2-way']",,,['Recommended PSU: 650W'],['250W'],,['Yes'],0 reviews
['1710 MHz'],['PNY'],,"['11.50"" x 4.41""']",['NVIDIA'],,['1515 MHz'],"['September 18, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,,,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['292 mm'],['7680 x 4320'],,['8GB'],['GDDR6'],['VCG20808DFPPB-O'],['4'],['OpenGL 4.5'],"['Microsoft Windows 10 64-bit (April 2018 Update or later), Windows 7 64-bit, Linux 64-bit']",,['1 x USB Type-C'],,,,,,['Dual Slot'],['Power Consumption: 285WRecommended Power Supply: 650W or greaterPCI Express-compliant motherboard with one dual-width x16 graphics slot1.5GB available hard-disk space8GB system memory (16GB recommended)One 6-pin and one 8-pin supplementary power connectorsInternet connection'],['260W'],,,(1)
['OC mode: 1845 MHzGaming mode: 1815 MHz'],['ASUS'],['3072'],"['10.54"" x 4.45""']",['NVIDIA'],['Single Fan'],['1650 MHz'],"['October 27, 2020']",,['3 x DisplayPort 1.4'],,['15500 MHz'],"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent floating point and integer processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.A redesigned shroud incorporates a raised edge to preserve air intake in cramped environments.Dual ball fan bearings can last up to twice as long as sleeve bearing designs.Auto-Extreme Technology uses automation to enhance reliability.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.144-hour validation program puts cards through a series of stringent tests to ensure compatibility with the latest games.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['TURBO-RTX2080S-8G-EVO'],['4'],['OpenGL 4.6'],,,,['Accessories:1 x Quick Guide'],['2 x 8-Pin'],,['SLI Ready'],['Turbo'],['Dual Slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],883 (79% Positive)
,,,,,,,"['October 18, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['MSI'],,,['NVIDIA'],,['4352units'],"['June 30, 2020']",,,,,,,,,,,['PCI-E 3.0'],,,,['11GB'],,,,,,,,,,,,,,,,,,291 (90% Positive)
['1635 MHz'],,['4352'],,,,['1350 MHz'],"['July 12, 2019']",['DirectX 12'],['1 x DisplayPort 1.4a'],,['14 Gbps'],,,['GeForce RTX 2080 Ti  Founders Edition'],,['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['NVIDIA GeForce RTX 20 Series'],['4'],['OpenGL 4.6'],,,,,"['1 x 8-pin, 1 x 8-pin']",,['NVIDIA RTX NVLink Bridge SLI-I Recommended PSU: 650W'],,['Dual Slot'],,,,['Yes'],(1)
,['GIGABYTE'],['2944'],"['11.42"" x 5.29""']",['NVIDIA'],['WINDFORCE STACK'],['1845 MHz'],"['October 08, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],['Powered by GeForce RTX 2080Integrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE Stack 3X 100mm Fan Cooling SystemRGB light reinvented7 Video OutputsMetal Back PlateBuilt for Extreme Overclocking 12+2 Power Phases'],['ATX'],['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N2080AORUS-8GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:AORUS metal stickerQuick guideI/O guideDriver CD'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],['Triple Slot'],['Recommended PSU: 650W'],['215W'],,,(24)
['1545 MHz'],['ZOTAC'],['4352'],"['10.55"" x 4.45""']",['NVIDIA'],['Double Fans'],,"['August 13, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14.0 Gbps'],['Active Fan ControlSpectra Lighting GDDR6 memoryFireStormOC Scanner'],,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],,['352-Bit'],['11GB'],['GDDR6'],['ZT-T20810G-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 7 x64'],,['1 x USB Type-C'],['Accessories:2 x Dual 6-pin to 8-pin adapterUser Manual'],['2 x 8-Pin'],,['NVLink ready'],,['Dual Slot'],['Recommended Power Supply: 650W'],['250W'],,,0 reviews
['1665 MHz'],['ZOTAC'],['4352'],"['11.73"" x 5.24""']",['NVIDIA'],['Double Fans'],,"['September 01, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14.0 Gbps'],['IceStorm 2.0Freeze Fan Stop16+4 Power PhaseActive Fan ControlGDDR6 memoryPowerBoostSPECTRA Lighting SystemFireStormOC Scanner'],,['RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['298 mm'],,['352-Bit'],['11GB'],['GDDR6'],['ZT-T20810H-10P'],['4'],['OpenGL 4.5'],['Windows 10 / 7 x64'],,['1 x USB Type-C'],['Accessories:2 x Dual 6-pin to 8-pin adapterUser Manual'],['2 x 8-Pin'],,['NVLink (SLI-Ready)'],,['Dual Slot'],['Recommended Power Supply: 650W'],['300W'],,['Yes'],0 reviews
,['GIGABYTE'],['4352'],"['10.52"" x 4.47""']",['NVIDIA'],['Single Fan'],['1620 MHz'],"['October 21, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],['Powered by GeForce RTX 2080 TiIntegrated with 11GB GDDR6 352-bit memory interfaceTurbo Fan Cooling SystemVapor chamber direct touch GPUDouble ball bearing fan'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['267 mm'],['7680 x 4320 @ 60 Hz'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TTURBO OC-11GC V2'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:Quick guideDriver CD'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],,['Dual Slot'],['Recommended PSU: 750W'],['300W'],,['Yes'],(1)
,,,,,,,"['September 30, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
